name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2013 Toyota 86 ZN6 GTS White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,"$32,999","56,312 Kms",Manual,Petrol - Premium ULP,Coupe,20251119,cheapcarco
2013 Toyota 86 ZN6 GTS White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,"$32,999","56,312 Kms",Manual,Petrol - Premium ULP,Coupe,20251119,cheapcarco
2013 Toyota 86 ZN6 GTS White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,"$32,999","56,312 Kms",Manual,Petrol - Premium ULP,Coupe,20251119,cheapcarco
