name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand,sold_date,import_date
Mustang,/used-cars/for-sale/ford/mustang/2017/fm-my17/3569677,33990,"180,001 - 200,000",Automatic,Petrol,Coupe,2025-11-05,brisbaneautogroup,2017,Ford,2025-11-08,
Fiesta,/used-cars/for-sale/ford/fiesta/2015/ambiente/wz-my15/3633172,6990,"180,001 - 200,000",Manual,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2015,Ford,2025-11-06,
2,/used-cars/for-sale/mazda/2/2011/neo/de-series-1-my11/3626067,7490,"160,001 - 180,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2011,Mazda,,
Micra,/used-cars/for-sale/nissan/micra/2016/st/k13-my15/3640748,7990,"120,001 - 140,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2016,Nissan,2025-11-08,
3,/used-cars/for-sale/mazda/3/2014/sp25-astina/bm-series/3649006,9990,"140,001 - 160,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2014,Mazda,,
1,/used-cars/for-sale/bmw/1-series/2014/118i/f20-my14/3644193,11990,"80,001 - 100,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2014,BMW,,
A3,/used-cars/for-sale/audi/a3/2013/ambition/8v-four-wheel-drive/3615633,12990,"120,001 - 140,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2013,Audi,2025-11-18,
Accent,/used-cars/for-sale/hyundai/accent/2017/sport/rb6-my18/3665406,12990,"60,001 - 80,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2017,Hyundai,,
MG3,/used-cars/for-sale/mg/mg3/2022/core-nav/my22/3664390,14990,"140,001 - 160,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2022,MG,2025-11-11,
MG3,/used-cars/for-sale/mg/mg3/2022/core-nav/my22/3664419,14990,"120,001 - 140,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2022,MG,,
Corolla,/used-cars/for-sale/toyota/corolla/2014/ascent-sport/zre182r/3569701,15990,"160,001 - 180,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2014,Toyota,,
MG3,/used-cars/for-sale/mg/mg3/2023/core/my23/3660997,15990,"100,001 - 120,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2023,MG,,
MG3,/used-cars/for-sale/mg/mg3/2023/core/my23/3664391,15990,"200,001+",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2023,MG,2025-11-11,
,/used-cars/for-sale/mercedes-benz/b-class/2012/b200-blueefficiency/w246/3624885,16990,"200,001+",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2012,Mercedes,2025-11-13,
,/used-cars/for-sale/mercedes-benz/b-class/2014/b200-cdi/w246/3660994,16990,"140,001 - 160,000",Automatic,Diesel,Hatchback,2025-11-05,brisbaneautogroup,2014,Mercedes,,
i30,/used-cars/for-sale/hyundai/i30/2019/n-line/pd.3-my20/3668742,19990,"140,001 - 160,000",Automatic,Petrol,Hatchback,2025-11-05,brisbaneautogroup,2019,Hyundai,,
