name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2009 Toyota RAV4 CV ACA33R MY09 4X4 On Demand,/used-cars/for-sale/toyota/rav4/2009/cv/aca33r-my09-4x4-on-demand/3685778,"$7,990","287,852 Kms",4 SP Automatic,Petrol - Unleaded ULP,SUV,20251119,brisbaneautogroup
2009 Nissan Navara ST-X D40 4X4 Dual Range,/used-cars/for-sale/nissan/navara/2009/st-x/d40-4x4-dual-range/3647732,"$11,490","203,607 Kms",5 SP Automatic,Diesel,SUV,20251119,brisbaneautogroup
2020 Hyundai Tucson Active TL4 MY20,/used-cars/for-sale/hyundai/tucson/2020/active/tl4-my20/3636966,"$11,990","280,709 Kms",6 SP Automatic,Petrol - Unleaded ULP,SUV,20251119,brisbaneautogroup
2016 Holden Trax LTZ TJ MY17,/used-cars/for-sale/holden/trax/2016/ltz/tj-my17/3649005,"$11,990","127,443 Kms",6 SP Automatic,Petrol - Premium ULP,SUV,20251119,brisbaneautogroup
2012 Mazda CX-5 Maxx KE Series,/used-cars/for-sale/mazda/cx-5/2012/maxx/ke-series/3685800,"$11,990","171,881 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,SUV,20251119,brisbaneautogroup
2016 Holden Trax LS TJ MY17,/used-cars/for-sale/holden/trax/2016/ls/tj-my17/3647739,"$12,990","71,816 Kms",6 SP Automatic,Petrol - Premium ULP,SUV,20251119,brisbaneautogroup
2014 Kia Sportage SLi SL Series II MY13 4X4 On Demand,/used-cars/for-sale/kia/sportage/2014/sli/sl-series-ii-my13-4x4-on-demand/3665403,"$12,990","156,134 Kms",6 SP Sports Automatic,Diesel,SUV,20251119,brisbaneautogroup
2017 Mitsubishi ASX LS XC MY18,/used-cars/for-sale/mitsubishi/asx/2017/ls/xc-my18/3629199,"$16,990","112,811 Kms",1 SP Constantly Variable,Petrol - Unleaded ULP,SUV,20251119,brisbaneautogroup
2016 Nissan QASHQAI ST J11,/used-cars/for-sale/nissan/qashqai/2016/st/j11/3685781,"$16,990","88,751 Kms",1 SP Constantly Variable,Petrol - Unleaded ULP,SUV,20251119,brisbaneautogroup
2013 Jeep Grand Cherokee Overland WK MY14 4X4 Constant,/used-cars/for-sale/jeep/grand-cherokee/2013/overland/wk-my14-4x4-constant/3686951,"$16,990","141,129 Kms",8 SP Sports Automatic,Diesel,SUV,20251119,brisbaneautogroup
2023 MG ZS Excite AZS1 MY23,/used-cars/for-sale/mg/zs/2023/excite/azs1-my23/3657423,"$17,490","56,134 Kms",4 SP Automatic,Petrol - Unleaded ULP,SUV,20251119,brisbaneautogroup
2023 MG ZS Excite AZS1 MY23,/used-cars/for-sale/mg/zs/2023/excite/azs1-my23/3657426,"$17,490","49,369 Kms",4 SP Automatic,Petrol - Unleaded ULP,SUV,20251119,brisbaneautogroup
2015 Holden Colorado 7 LT RG MY16 4X4 Dual Range,/used-cars/for-sale/holden/colorado-7/2015/lt/rg-my16-4x4-dual-range/3636960,"$17,990","190,303 Kms",6 SP Sports Automatic,Diesel,SUV,20251119,brisbaneautogroup
2015 Honda CR-V Limited Edition RM Series II MY17 4X4 On Demand,/used-cars/for-sale/honda/cr-v/2015/limited-edition/rm-series-ii-my17-4x4-on-demand/3664421,"$17,990","133,380 Kms",5 SP Sports Automatic,Petrol - Unleaded ULP,SUV,20251119,brisbaneautogroup
2022 MG HS Vibe SAS23 MY22,/used-cars/for-sale/mg/hs/2022/vibe/sas23-my22/3681782,"$17,990","80,280 Kms",7 SP Sports Automatic Dual Clutch,Petrol - Premium ULP,SUV,20251119,brisbaneautogroup
2022 Kia Niro PHEV S DE MY22,/used-cars/for-sale/kia/niro/2022/phev-s/de-my22/3685789,"$17,990","216,299 Kms",6 SP Sports Automatic Dual Clutch,Plug-in Hybrid with Petrol - Unleaded ULP,SUV,20251119,brisbaneautogroup
2019 SsangYong Korando Ultimate LE C300 MY20 AWD,/used-cars/for-sale/ssangyong/korando/2019/ultimate-le/c300-my20-awd/3656715,"$19,990","37,800 Kms",6 SP Sports Automatic,Diesel,SUV,20251119,brisbaneautogroup
2015 Kia Sorento Platinum UM MY15 AWD,/used-cars/for-sale/kia/sorento/2015/platinum/um-my15-awd/3681779,"$19,990","139,000 Kms",6 SP Sports Automatic,Diesel,SUV,20251119,brisbaneautogroup
2015 Mercedes-Benz GLA-Class GLA250 X156 Four Wheel Drive,/used-cars/for-sale/mercedes-benz/gla-class/2015/gla250/x156-four-wheel-drive/3644853,"$20,990","91,508 Kms",7 SP Sports Automatic Dual Clutch,Petrol - Premium ULP,SUV,20251119,brisbaneautogroup
2013 Mercedes-Benz M-Class ML350 BlueTEC W166 4X4 Constant,/used-cars/for-sale/mercedes-benz/m-class/2013/ml350-bluetec/w166-4x4-constant/3645001,"$21,990","97,359 Kms",7 SP Sports Automatic,Diesel,SUV,20251119,brisbaneautogroup
