name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2015 Kia Carnival S YP MY15,/used-cars/for-sale/kia/carnival/2015/s/yp-my15/3630434,"$19,990","136,521 Kms",6 SP Sports Automatic,Petrol,Wagon,20251115,brisbaneautogroup
2009 Holden Commodore SS V VE MY09.5,/used-cars/for-sale/holden/commodore/2009/ss-v/ve-my09.5/3660805,"$19,990","165,043 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Wagon,20251115,brisbaneautogroup
2019 Audi A4 allroad 45 TFSI B9 MY19 4X4 On Demand,/used-cars/for-sale/audi/a4/2019/allroad-45-tfsi/b9-my19-4x4-on-demand/3638510,"$25,990","135,830 Kms",7 SP Sports Automatic Dual Clutch,Petrol - Unleaded ULP,Wagon,20251115,brisbaneautogroup
2017 Mercedes-Benz Valente 116BlueTEC 447,/used-cars/for-sale/mercedes-benz/valente/2017/116bluetec/447/3676619,"$29,990","150,827 Kms",7 SP Sports Automatic,Diesel,Wagon,20251115,brisbaneautogroup
