name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2010 Nissan 370Z Z34 MY10 Grey 7 Speed Sports Automatic Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Nissan-370Z/34066689,"$18,999","204,488 Kms",Sports Automatic,Petrol - Premium ULP,Coupe,20251113,cheapcarco
2010 Nissan 370Z Z34 MY10 Grey 7 Speed Sports Automatic Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Nissan-370Z/34066689,"$18,999","204,488 Kms",Sports Automatic,Petrol - Premium ULP,Coupe,20251113,cheapcarco
2010 Nissan 370Z Z34 MY10 Grey 7 Speed Sports Automatic Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Nissan-370Z/34066689,"$18,999","204,488 Kms",Sports Automatic,Petrol - Premium ULP,Coupe,20251113,cheapcarco
2008 BMW 630i White Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-BMW-630i/34087718,"$14,999","83,899 Kms",Petrol,,Coupe,20251113,cheapcarco
2008 BMW 630i White Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-BMW-630i/34087718,"$14,999","83,899 Kms",Petrol,,Coupe,20251113,cheapcarco
2008 BMW 630i White Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-BMW-630i/34087718,"$14,999","83,899 Kms",Petrol,,Coupe,20251113,cheapcarco
2013 Toyota 86 ZN6 GTS White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,"$34,999","56,312 Kms",Manual,Petrol - Premium ULP,Coupe,20251113,cheapcarco
2013 Toyota 86 ZN6 GTS White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,"$34,999","56,312 Kms",Manual,Petrol - Premium ULP,Coupe,20251113,cheapcarco
2013 Toyota 86 ZN6 GTS White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,"$34,999","56,312 Kms",Manual,Petrol - Premium ULP,Coupe,20251113,cheapcarco
