name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2018 Ford Endura MY19,https://www.cars24.com.au/buy-used-ford-endura-car-18962810650688/,"$21,290",95k kms,Automatic,Diesel,SUV,20251118,cars24
2021 MG Zst MY21,https://www.cars24.com.au/buy-used-mg-zst-car-19620219691072/,"$18,490",31k kms,Automatic,Petrol,SUV,20251118,cars24
2016 Mazda CX-9 MY17,https://www.cars24.com.au/buy-used-mazda-cx-9-car-19201574737920/,"$24,590",114k kms,Automatic,Petrol,SUV,20251118,cars24
2020 Mitsubishi Outlander MY20,https://www.cars24.com.au/buy-used-mitsubishi-outlander-car-19565135334272/,"$25,490",46k kms,Automatic,Petrol,SUV,20251118,cars24
2015 Mazda CX-5 MY15,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19800930692480/,"$20,090",125k kms,Automatic,Petrol,SUV,20251118,cars24
2019 Volkswagen Tiguan MY20,https://www.cars24.com.au/buy-used-volkswagen-tiguan-car-20037762139712/,"$20,490",150k kms,Automatic,Petrol,SUV,20251118,cars24
2023 Toyota Corolla Cross MY23,https://www.cars24.com.au/buy-used-toyota-corolla-cross-car-18848897376640/,"$36,790",43k kms,Automatic,Hybrid,SUV,20251118,cars24
2021 MG Zst MY21,https://www.cars24.com.au/buy-used-mg-zst-car-18782785144640/,"$19,190",48k kms,Automatic,Petrol,SUV,20251118,cars24
2023 Toyota Corolla Cross MY23,https://www.cars24.com.au/buy-used-toyota-corolla-cross-car-19776404245120/,"$31,990",44k kms,Automatic,Petrol,SUV,20251118,cars24
2021 Nissan X-trail MY21,https://www.cars24.com.au/buy-used-nissan-x-trail-car-19812602610560/,"$25,390",40k kms,Automatic,Petrol,SUV,20251118,cars24
2018 Ford Endura MY19,https://www.cars24.com.au/buy-used-ford-endura-car-18769228040896/,"$21,490",100k kms,Automatic,Diesel,SUV,20251118,cars24
2020 Nissan Qashqai MY21,https://www.cars24.com.au/buy-used-nissan-qashqai-car-19743173168064/,"$22,890",65k kms,Automatic,Petrol,SUV,20251118,cars24
