name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2015 Kia Carnival S YP MY15,/used-cars/for-sale/kia/carnival/2015/s/yp-my15/3622818,"$16,490","197,615 Kms",6 SP Sports Automatic,Petrol,Wagon,20251103
2009 Holden Commodore SS V VE MY09.5,/used-cars/for-sale/holden/commodore/2009/ss-v/ve-my09.5/3660805,"$19,990","165,043 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Wagon,20251103
2015 Kia Carnival S YP MY15,/used-cars/for-sale/kia/carnival/2015/s/yp-my15/3630434,"$21,490","136,521 Kms",6 SP Sports Automatic,Petrol,Wagon,20251103
2019 Audi A4 allroad 45 TFSI B9 MY19 4X4 On Demand,/used-cars/for-sale/audi/a4/2019/allroad-45-tfsi/b9-my19-4x4-on-demand/3638510,"$26,990","135,830 Kms",7 SP Sports Automatic Dual Clutch,Petrol - Unleaded ULP,Wagon,20251103
