name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2023 Renault Arkana MY23,https://www.cars24.com.au/buy-used-renault-arkana-car-19925739756544/,"$22,190",34k kms,Automatic,Petrol,Coupe,20251117,cars24
2023 Renault Arkana MY23,https://www.cars24.com.au/buy-used-renault-arkana-car-19869781099328/,"$20,090",52k kms,Automatic,Petrol,Coupe,20251117,cars24
2022 Renault Arkana MY22,https://www.cars24.com.au/buy-used-renault-arkana-car-18519629992832/,"$20,795",45k kms,Automatic,Petrol,Coupe,20251117,cars24
