name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2015 Ford Fiesta Ambiente WZ MY15,/used-cars/for-sale/ford/fiesta/2015/ambiente/wz-my15/3633172,"$6,990","132,664 Kms",5 SP Manual,Petrol - Unleaded ULP,Hatchback,20251107
2011 Mazda 2 Neo DE Series 1 MY11,/used-cars/for-sale/mazda/2/2011/neo/de-series-1-my11/3626067,"$7,490","201,009 Kms",4 SP Automatic,Petrol - Unleaded ULP,Hatchback,20251107
2012 Nissan Micra ST K13,/used-cars/for-sale/nissan/micra/2012/st/k13/3636958,"$7,490","141,908 Kms",4 SP Automatic,Petrol - Unleaded ULP,Hatchback,20251107
2016 Nissan Micra ST K13 MY15,/used-cars/for-sale/nissan/micra/2016/st/k13-my15/3640748,"$7,990","179,000 Kms",4 SP Automatic,Petrol - Unleaded ULP,Hatchback,20251107
2012 Toyota Yaris YR NCP130R,/used-cars/for-sale/toyota/yaris/2012/yr/ncp130r/3647021,"$9,990","214,076 Kms",4 SP Automatic,Petrol - Unleaded ULP,Hatchback,20251107
2014 Mazda 3 SP25 Astina BM Series,/used-cars/for-sale/mazda/3/2014/sp25-astina/bm-series/3649006,"$9,990","229,731 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Hatchback,20251107
2014 BMW 1 Series 118i F20 MY14,/used-cars/for-sale/bmw/1-series/2014/118i/f20-my14/3644193,"$11,990","140,604 Kms",8 SP Sports Automatic,Petrol - Premium ULP,Hatchback,20251107
2013 Audi A3 Ambition 8V Four Wheel Drive,/used-cars/for-sale/audi/a3/2013/ambition/8v-four-wheel-drive/3615633,"$13,990","142,840 Kms",6 SP Sports Automatic Dual Clutch,Petrol - Premium ULP,Hatchback,20251107
2022 MG MG3 Core MY22,/used-cars/for-sale/mg/mg3/2022/core/my22/3664390,"$14,990","57,264 Kms",4 SP Automatic,Petrol - Premium ULP,Hatchback,20251107
2022 MG MG3 Core (Nav) MY22,/used-cars/for-sale/mg/mg3/2022/core-nav/my22/3664419,"$14,990","53,764 Kms",4 SP Automatic,Petrol - Premium ULP,Hatchback,20251107
2014 Toyota Corolla Ascent Sport ZRE182R,/used-cars/for-sale/toyota/corolla/2014/ascent-sport/zre182r/3569701,"$15,990","137,656 Kms",7 SP Constantly Variable,Petrol - Unleaded ULP,Hatchback,20251107
2023 MG MG3 Core MY23,/used-cars/for-sale/mg/mg3/2023/core/my23/3660997,"$15,990","44,491 Kms",4 SP Automatic,Petrol - Premium ULP,Hatchback,20251107
2023 MG MG3 Core MY23,/used-cars/for-sale/mg/mg3/2023/core/my23/3664391,"$15,990","66,154 Kms",4 SP Automatic,Petrol - Premium ULP,Hatchback,20251107
2012 Mercedes-Benz B-Class B200 BlueEFFICIENCY W246,/used-cars/for-sale/mercedes-benz/b-class/2012/b200-blueefficiency/w246/3624885,"$16,990","38,945 Kms",7 SP Sports Automatic Dual Clutch,Petrol - Premium ULP,Hatchback,20251107
2014 Mercedes-Benz B-Class B200 CDI W246,/used-cars/for-sale/mercedes-benz/b-class/2014/b200-cdi/w246/3660994,"$16,990","81,500 Kms",7 SP Sports Automatic Dual Clutch,Diesel,Hatchback,20251107
