name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
370Z,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Nissan-370Z/34066689,18999,"180,001 - 200,000",Automatic,Petrol,Coupe,20251105,cheapcarco,2010,Nissan
86,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,34999,"160,001 - 180,000",Manual,Petrol,Coupe,20251105,cheapcarco,2013,Toyota
2,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-2/34043925,14999,"180,001 - 200,000",Automatic,Petrol,Hatchback,20251105,cheapcarco,2015,Mazda
Accent,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Hyundai-Accent/34087722,11999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,cheapcarco,2014,Hyundai
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Barina/34083169,9999,"200,001+",Automatic,Petrol,Hatchback,20251105,cheapcarco,2014,Holden
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Barina/34043538,8999,"200,001+",Manual,Petrol,Hatchback,20251105,cheapcarco,2015,Holden
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Holden-Barina/34043374,11999,"200,001+",Automatic,Petrol,Hatchback,20251105,cheapcarco,2017,Holden
Civic,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Honda-Civic/34087720,11999,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251105,cheapcarco,2012,Honda
Civic,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Civic/34045514,13999,"200,001+",Automatic,Petrol,Hatchback,20251105,cheapcarco,2013,Honda
Clio,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Renault-Clio/34040751,14999,"200,001+",Automatic,Petrol,Hatchback,20251105,cheapcarco,2016,Renault
Corolla,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Toyota-Corolla/33983863,12999,"200,001+",Automatic,Petrol,Hatchback,20251105,cheapcarco,2015,Toyota
Corolla,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2007-Toyota-Corolla/33980745,6999,"200,001+",Automatic,Petrol,Hatchback,20251105,cheapcarco,2007,Toyota
Cruze,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Cruze/34078557,11999,"200,001+",Automatic,Petrol,Hatchback,20251105,cheapcarco,2016,Holden
Dualis,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Nissan-Dualis/34084757,11999,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251105,cheapcarco,2012,Nissan
