name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
Steed,https://www.cars24.com.au/buy-used-gwm-steed-car-19663100068736/,15390,"20,001 - 40,000",Manual,Diesel,Cab Chassis,20251117,cars24,2021,GWM
Triton,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-19387137716992/,33190,"40,001 - 60,000",Manual,Diesel,Cab Chassis,20251117,cars24,2021,Mitsubishi
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-19925739756544/,22190,"20,001 - 40,000",Automatic,Petrol,Coupe,20251117,cars24,2023,Renault
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-19869781099328/,20090,"40,001 - 60,000",Automatic,Petrol,Coupe,20251117,cars24,2023,Renault
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-18519629992832/,20795,"40,001 - 60,000",Automatic,Petrol,Coupe,20251117,cars24,2022,Renault
3,https://www.cars24.com.au/buy-used-mazda-3-car-19889932666304/,31290,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251117,cars24,2023,Mazda
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19936569000064/,30790,"40,001 - 60,000",Automatic,Hybrid,Hatchback,20251117,cars24,2020,Toyota
Yaris,https://www.cars24.com.au/buy-used-toyota-yaris-car-19787114523136/,19690,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251117,cars24,2019,Toyota
1,https://www.cars24.com.au/buy-used-bmw-1-car-16825346466752/,38999,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251117,cars24,2021,BMW
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-hybrid+-car-19506164816064/,24490,"100,001 - 120,000",Automatic,Hybrid,Hatchback,20251117,cars24,2024,MG
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414061518912/,26490,"60,001 - 80,000",Automatic,Hybrid,Hatchback,20251117,cars24,2022,Toyota
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-18700042448192/,20190,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251117,cars24,2020,Kia
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19711212668736/,22690,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251117,cars24,2019,Toyota
2,https://www.cars24.com.au/buy-used-mazda-2-car-19797753245056/,22890,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251117,cars24,2024,Mazda
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414030516416/,27390,"80,001 - 100,000",Automatic,Hybrid,Hatchback,20251117,cars24,2021,Toyota
