name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
Triton,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-19387137716992/,33490,"100,001 - 120,000",Manual,Diesel,Cab Chassis,20251105,cars24,2021,Mitsubishi
Steed,https://www.cars24.com.au/buy-used-gwm-steed-car-19663100068736/,15490,"60,001 - 80,000",Manual,Diesel,Cab Chassis,20251105,cars24,2021,GWM
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-18519629992832/,20995,"100,001 - 120,000",Automatic,Petrol,Coupe,20251105,cars24,2022,Renault
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-18566072769024/,15090,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251105,cars24,2015,Volkswagen
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414030516416/,27990,"60,001 - 80,000",Automatic,Hybrid,Hatchback,20251105,cars24,2021,Toyota
3,https://www.cars24.com.au/buy-used-mazda-3-car-19799915670848/,28490,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2023,Mazda
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19711212668736/,22890,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251105,cars24,2019,Toyota
2,https://www.cars24.com.au/buy-used-mazda-2-car-19787090668480/,21890,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2023,Mazda
3,https://www.cars24.com.au/buy-used-mazda-3-car-19889932666304/,31790,"0 - 20,000",Automatic,Petrol,Hatchback,20251105,cars24,2023,Mazda
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414061518912/,26990,"0 - 20,000",Automatic,Hybrid,Hatchback,20251105,cars24,2022,Toyota
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-hybrid+-car-19506164816064/,24590,"40,001 - 60,000",Automatic,Hybrid,Hatchback,20251105,cars24,2024,MG
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19786853699264/,18590,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251105,cars24,2016,Volkswagen
3,https://www.cars24.com.au/buy-used-mazda-3-car-19868526183232/,24390,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2020,Mazda
Yaris,https://www.cars24.com.au/buy-used-toyota-yaris-car-19324339417152/,23490,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251105,cars24,2022,Toyota
3,https://www.cars24.com.au/buy-used-mazda-3-car-19937102464384/,19190,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2018,Mazda
3,https://www.cars24.com.au/buy-used-mazda-3-car-19888594290048/,30090,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251105,cars24,2024,Mazda
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-18700042448192/,20190,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251105,cars24,2020,Kia
1,https://www.cars24.com.au/buy-used-bmw-1-car-18519133098432/,26190,"0 - 20,000",Automatic,Petrol,Hatchback,20251105,cars24,2019,BMW
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-18511273944448/,21395,"60,001 - 80,000",Manual,Petrol,Hatchback,20251105,cars24,2021,Hyundai
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19179883896384/,21990,"0 - 20,000",Automatic,Petrol,Hatchback,20251105,cars24,2019,Toyota
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19390205194560/,33590,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251105,cars24,2023,Hyundai
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19368973321472/,15690,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2022,MG
Scala,https://www.cars24.com.au/buy-used-skoda-scala-car-18939570466368/,20395,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251105,cars24,2021,SKODA
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19085614740672/,24290,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2022,Kia
Impreza,https://www.cars24.com.au/buy-used-subaru-impreza-car-19110386401856/,18590,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2017,Subaru
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19240737480384/,26290,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2019,Volkswagen
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19413882930816/,18090,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251105,cars24,2016,Toyota
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18791250270272/,20690,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,cars24,2015,Volkswagen
Puma,https://www.cars24.com.au/buy-used-ford-puma-car-18824554833600/,23090,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251105,cars24,2022,Ford
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19337481175168/,19190,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251105,cars24,2019,Kia
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19414680310400/,17490,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251105,cars24,2019,Volkswagen
Mg4,https://www.cars24.com.au/buy-used-mg-mg4-car-19561486096000/,28390,"40,001 - 60,000",Automatic,Electric,Hatchback,20251105,cars24,2023,MG
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19715401371456/,28090,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2021,Kia
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-19240498168576/,18990,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2021,Volkswagen
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19244276161088/,21690,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251105,cars24,2017,Hyundai
2,https://www.cars24.com.au/buy-used-mazda-2-car-19797753245056/,23090,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2024,Mazda
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19631890359744/,26190,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2020,Volkswagen
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19561372344128/,33790,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2022,Hyundai
Prius-c,https://www.cars24.com.au/buy-used-toyota-prius-c-car-19323566440640/,19090,"40,001 - 60,000",Automatic,Hybrid,Hatchback,20251105,cars24,2017,Toyota
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18121809715904/,15695,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251105,cars24,2018,Volkswagen
3,https://www.cars24.com.au/buy-used-mazda-3-car-18518984987584/,15490,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2017,Mazda
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18371663519808/,26190,"40,001 - 60,000",Manual,Petrol,Hatchback,20251105,cars24,2016,Volkswagen
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19075155957632/,15390,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2023,MG
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-19458743743296/,13390,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251105,cars24,2018,Volkswagen
Baleno,https://www.cars24.com.au/buy-used-suzuki-baleno-car-18623743184256/,16990,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251105,cars24,2022,Suzuki
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19630753571648/,20090,"0 - 20,000",Automatic,Petrol,Hatchback,20251105,cars24,2020,Toyota
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19176806876736/,16390,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251105,cars24,2023,MG
