name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18791250270272/,20090,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251118,cars24,2015,Volkswagen
1,https://www.cars24.com.au/buy-used-bmw-1-car-18519133098432/,26190,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251118,cars24,2019,BMW
Baleno,https://www.cars24.com.au/buy-used-suzuki-baleno-car-18623743184256/,16990,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251118,cars24,2022,Suzuki
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19869711860224/,13890,"120,001 - 140,000",Automatic,Diesel,Hatchback,20251118,cars24,2016,Hyundai
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19187348576576/,20290,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251118,cars24,2020,Hyundai
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19075155957632/,15390,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251118,cars24,2023,MG
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19179883896384/,20890,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251118,cars24,2019,Toyota
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19744051219072/,17590,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251118,cars24,2017,Volkswagen
2,https://www.cars24.com.au/buy-used-mazda-2-car-19787090668480/,21890,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251118,cars24,2023,Mazda
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19791535197888/,21490,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251118,cars24,2020,Hyundai
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19874866562880/,31990,"140,001 - 160,000",Automatic,Hybrid,Hatchback,20251118,cars24,2024,Toyota
Model,https://www.cars24.com.au/buy-used-tesla-model-3-car-17207799625856/,36899,"60,001 - 80,000",Automatic,Electric,Sedan,20251118,cars24,2022,Tesla
Ioniq,https://www.cars24.com.au/buy-used-hyundai-ioniq-6-car-17115786185984/,41690,"40,001 - 60,000",Automatic,Electric,Sedan,20251118,cars24,2023,Hyundai
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19981618903104/,25590,"120,001 - 140,000",Automatic,Petrol,Sedan,20251118,cars24,2023,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19553241554816/,32590,"20,001 - 40,000",Automatic,Hybrid,Sedan,20251118,cars24,2022,Toyota
Insignia,https://www.cars24.com.au/buy-used-holden-insignia-car-19786972048064/,15390,"60,001 - 80,000",Automatic,Petrol,Sedan,20251118,cars24,2015,Holden
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-18769229090688/,22890,"100,001 - 120,000",Automatic,Petrol,Sedan,20251118,cars24,2021,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19891182043264/,36290,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251118,cars24,2023,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19146116526848/,31790,"60,001 - 80,000",Automatic,Hybrid,Sedan,20251118,cars24,2022,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19481556098112/,29390,"120,001 - 140,000",Automatic,Hybrid,Sedan,20251118,cars24,2020,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19382069032000/,28490,"80,001 - 100,000",Automatic,Hybrid,Sedan,20251118,cars24,2020,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19662626687872/,32990,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251118,cars24,2022,Toyota
,https://www.cars24.com.au/buy-used-mercedes-benz-c200-car-19948200753472/,34590,"80,001 - 100,000",Automatic,Hybrid,Sedan,20251118,cars24,2018,Mercedes
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19791497579200/,25490,"80,001 - 100,000",Automatic,Petrol,Sedan,20251118,cars24,2023,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19662557743232/,33190,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251118,cars24,2023,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19565173476672/,26590,"60,001 - 80,000",Automatic,Hybrid,Sedan,20251118,cars24,2018,Toyota
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19549841677696/,25990,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251118,cars24,2022,Toyota
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19791424695744/,27390,"20,001 - 40,000",Automatic,Hybrid,Sedan,20251118,cars24,2023,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19553080578368/,26790,"40,001 - 60,000",Automatic,Petrol,Sedan,20251118,cars24,2022,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19553105369792/,32490,"100,001 - 120,000",Automatic,Hybrid,Sedan,20251118,cars24,2022,Toyota
Arteon,https://www.cars24.com.au/buy-used-volkswagen-arteon-car-19266415298304/,30590,"40,001 - 60,000",Automatic,Petrol,Sedan,20251118,cars24,2018,Volkswagen
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19786932210112/,18890,"40,001 - 60,000",Automatic,Petrol,Sedan,20251118,cars24,2018,Kia
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19553268405824/,31890,"0 - 20,000",Automatic,Hybrid,Sedan,20251118,cars24,2022,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19497117816640/,30490,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251118,cars24,2021,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19375692988800/,25990,"100,001 - 120,000",Automatic,Hybrid,Sedan,20251118,cars24,2020,Toyota
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414822978176/,25890,"120,001 - 140,000",Automatic,Hybrid,Sedan,20251118,cars24,2021,Toyota
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19165253928192/,21890,"60,001 - 80,000",Automatic,Petrol,Sedan,20251118,cars24,2023,Kia
Mg5,https://www.cars24.com.au/buy-used-mg-mg5-car-18927305213248/,21295,"120,001 - 140,000",Automatic,Petrol,Sedan,20251118,cars24,2023,MG
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19223570062912/,29090,"60,001 - 80,000",Automatic,Hybrid,SUV,20251118,cars24,2022,Toyota
Q2,https://www.cars24.com.au/buy-used-audi-q2-car-19881587540096/,29490,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2021,Audi
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-cross-car-18848897376640/,36790,"120,001 - 140,000",Automatic,Hybrid,SUV,20251118,cars24,2023,Toyota
Outlander,https://www.cars24.com.au/buy-used-mitsubishi-outlander-car-19653977325760/,24690,"20,001 - 40,000",Automatic,Diesel,SUV,20251118,cars24,2019,Mitsubishi
HS,https://www.cars24.com.au/buy-used-mg-hs-car-19617198482112/,20990,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2022,MG
Trailblazer,https://www.cars24.com.au/buy-used-holden-trailblazer-car-18938511272448/,25990,"100,001 - 120,000",Automatic,Diesel,SUV,20251118,cars24,2017,Holden
Tiggo,https://www.cars24.com.au/buy-used-chery-tiggo-7-pro-car-19790906699520/,27490,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2024,Chery
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-18443036365760/,26595,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2023,Toyota
