name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
2,/used-cars/for-sale/mazda/2/2011/neo/de-series-1-my11/3626067,7490,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2011,Mazda
3,/used-cars/for-sale/mazda/3/2014/sp25-astina/bm-series/3649006,9990,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2014,Mazda
1,/used-cars/for-sale/bmw/1-series/2014/118i/f20-my14/3644193,10990,"200,001+",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2014,BMW
Yaris,/used-cars/for-sale/toyota/yaris/2013/yr/ncp130r/3671230,10990,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2013,Toyota
A3,/used-cars/for-sale/audi/a3/2013/ambition/8v-four-wheel-drive/3615633,11990,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2013,Audi
Mirage,/used-cars/for-sale/mitsubishi/mirage/2017/es/la-my18/3675390,11990,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2017,Mitsubishi
Polo,/used-cars/for-sale/volkswagen/polo/2014/gti/6r-my14/3682118,11990,"200,001+",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2014,Volkswagen
Accent,/used-cars/for-sale/hyundai/accent/2017/sport/rb6-my18/3665406,12990,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2017,Hyundai
MG3,/used-cars/for-sale/mg/mg3/2022/core-nav/my22/3664419,14990,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2022,MG
Corolla,/used-cars/for-sale/toyota/corolla/2014/ascent-sport/zre182r/3569701,15990,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2014,Toyota
MG3,/used-cars/for-sale/mg/mg3/2023/core/my23/3660997,15990,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2023,MG
,/used-cars/for-sale/mercedes-benz/b-class/2014/b200-cdi/w246/3660994,16990,"200,001+",Automatic,Diesel,Hatchback,20251117,brisbaneautogroup,2014,Mercedes
i30,/used-cars/for-sale/hyundai/i30/2019/n-line/pd.3-my20/3668742,19990,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2019,Hyundai
RS3,/used-cars/for-sale/audi/rs3/2016/8v-my16-four-wheel-drive/3676051,36990,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251117,brisbaneautogroup,2016,Audi
Cruze,/used-cars/for-sale/holden/cruze/2013/equipe/jh-series-ii-my14/3624676,6990,"120,001 - 140,000",Automatic,Petrol,Sedan,20251117,brisbaneautogroup,2013,Holden
