name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
Steed,https://www.cars24.com.au/buy-used-gwm-steed-car-19663100068736/,15490,"60,001 - 80,000",Manual,Diesel,Cab Chassis,20251108,cars24,2021,GWM
Triton,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-19387137716992/,33490,"100,001 - 120,000",Manual,Diesel,Cab Chassis,20251108,cars24,2021,Mitsubishi
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-19869781099328/,20290,"60,001 - 80,000",Automatic,Petrol,Coupe,20251108,cars24,2023,Renault
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-18519629992832/,20995,"100,001 - 120,000",Automatic,Petrol,Coupe,20251108,cars24,2022,Renault
1,https://www.cars24.com.au/buy-used-bmw-1-car-18519133098432/,26190,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251108,cars24,2019,BMW
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19240737480384/,25690,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251108,cars24,2019,Volkswagen
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-18566072769024/,14990,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251108,cars24,2015,Volkswagen
Puma,https://www.cars24.com.au/buy-used-ford-puma-car-18824554833600/,23090,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251108,cars24,2022,Ford
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19786853699264/,18590,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251108,cars24,2016,Volkswagen
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19630613717120/,16790,"0 - 20,000",Automatic,Petrol,Hatchback,20251108,cars24,2016,Toyota
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-18700042448192/,20190,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251108,cars24,2020,Kia
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19244276161088/,21690,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251108,cars24,2017,Hyundai
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19711212668736/,22790,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251108,cars24,2019,Toyota
3,https://www.cars24.com.au/buy-used-mazda-3-car-19888594290048/,30090,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251108,cars24,2024,Mazda
Mg4,https://www.cars24.com.au/buy-used-mg-mg4-car-19561486096000/,28090,"60,001 - 80,000",Automatic,Electric,Hatchback,20251108,cars24,2023,MG
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19715137712128/,24290,"140,001 - 160,000",Automatic,Hybrid,Hatchback,20251108,cars24,2019,Toyota
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19390205194560/,33390,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251108,cars24,2023,Hyundai
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19414680310400/,17390,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251108,cars24,2019,Volkswagen
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19561372344128/,33790,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251108,cars24,2022,Hyundai
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19368973321472/,15490,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251108,cars24,2022,MG
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19631890359744/,26190,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251108,cars24,2020,Volkswagen
Impreza,https://www.cars24.com.au/buy-used-subaru-impreza-car-19110386401856/,18590,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251108,cars24,2017,Subaru
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19179883896384/,21390,"0 - 20,000",Automatic,Petrol,Hatchback,20251108,cars24,2019,Toyota
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-18511273944448/,21395,"60,001 - 80,000",Manual,Petrol,Hatchback,20251108,cars24,2021,Hyundai
Arteon,https://www.cars24.com.au/buy-used-volkswagen-arteon-car-19266415298304/,31090,"60,001 - 80,000",Automatic,Petrol,Sedan,20251108,cars24,2018,Volkswagen
Mg5,https://www.cars24.com.au/buy-used-mg-mg5-car-18927305213248/,21395,"100,001 - 120,000",Automatic,Petrol,Sedan,20251108,cars24,2023,MG
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19375692988800/,26390,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251108,cars24,2020,Toyota
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-18769229090688/,23490,"40,001 - 60,000",Automatic,Petrol,Sedan,20251108,cars24,2021,Toyota
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19165253928192/,22090,"20,001 - 40,000",Automatic,Petrol,Sedan,20251108,cars24,2023,Kia
Model,https://www.cars24.com.au/buy-used-tesla-model-3-car-17207799625856/,37399,"0 - 20,000",Automatic,Electric,Sedan,20251108,cars24,2022,Tesla
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414822978176/,26190,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251108,cars24,2021,Toyota
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19549841677696/,26590,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251108,cars24,2022,Toyota
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19786932210112/,19590,"120,001 - 140,000",Automatic,Petrol,Sedan,20251108,cars24,2018,Kia
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19553268405824/,32390,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251108,cars24,2022,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19553080578368/,27090,"60,001 - 80,000",Automatic,Petrol,Sedan,20251108,cars24,2022,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19382069032000/,29090,"140,001 - 160,000",Automatic,Hybrid,Sedan,20251108,cars24,2020,Toyota
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19791424695744/,27990,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251108,cars24,2023,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19553241554816/,33190,"20,001 - 40,000",Automatic,Hybrid,Sedan,20251108,cars24,2022,Toyota
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19791497579200/,26090,"40,001 - 60,000",Automatic,Petrol,Sedan,20251108,cars24,2023,Toyota
Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19481556098112/,29890,"40,001 - 60,000",Automatic,Hybrid,Sedan,20251108,cars24,2020,Toyota
