name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2019 Subaru XV MY19,https://www.cars24.com.au/buy-used-subaru-xv-car-19325219521984/,"$25,390",60k kms,Automatic,Petrol,Wagon,20251029
2023 Kia Stonic MY24,https://www.cars24.com.au/buy-used-kia-stonic-car-19490354256768/,"$22,090",38k kms,Automatic,Petrol,Wagon,20251029
2023 MG ZS MY23,https://www.cars24.com.au/buy-used-mg-zs-car-19059073738624/,"$18,190",19k kms,Automatic,Petrol,Wagon,20251029
2020 Volkswagen T-cross MY20,https://www.cars24.com.au/buy-used-volkswagen-t-cross-car-19698478761088/,"$20,590",62k kms,Automatic,Petrol,Wagon,20251029
2024 Hyundai Venue MY25,https://www.cars24.com.au/buy-used-hyundai-venue-car-19817393848448/,"$25,990",10k kms,Automatic,Petrol,Wagon,20251029
2023 Subaru Outback,https://www.cars24.com.au/buy-used-subaru-outback-car-17421554224192/,"$31,799",37k kms,Automatic,Petrol,Wagon,20251029
2021 MG ZS EV MY21,https://www.cars24.com.au/buy-used-mg-zs-ev-car-19546743397184/,"$20,590",48k kms,Automatic,Electric,Wagon,20251029
2024 Mazda CX-3 MY24,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19541440861888/,"$26,290",13k kms,Automatic,Petrol,Wagon,20251029
2022 Kia Carnival MY22,https://www.cars24.com.au/buy-used-kia-carnival-car-18292664722816/,"$38,799",63k kms,Automatic,Diesel,Wagon,20251029
2020 Volkswagen T-cross MY20,https://www.cars24.com.au/buy-used-volkswagen-t-cross-car-18475131048256/,"$18,695",76k kms,Automatic,Petrol,Wagon,20251029
2022 GWM Haval Jolion MY23,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19145313289536/,"$22,190",27k kms,Automatic,Petrol,Wagon,20251029
2016 Subaru Levorg MY17,https://www.cars24.com.au/buy-used-subaru-levorg-car-18382517068096/,"$20,695",90k kms,Automatic,Petrol,Wagon,20251029
2023 Kia Stonic MY24,https://www.cars24.com.au/buy-used-kia-stonic-car-19716743941952/,"$23,190",20k kms,Automatic,Petrol,Wagon,20251029
2021 Hyundai Venue MY22,https://www.cars24.com.au/buy-used-hyundai-venue-car-19629738419392/,"$18,990",70k kms,Automatic,Petrol,Wagon,20251029
2018 Subaru XV MY18,https://www.cars24.com.au/buy-used-subaru-xv-car-19585358826688/,"$23,090",95k kms,Automatic,Petrol,Wagon,20251029
