name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2006 Toyota HiAce KDH200R LWB White 5 Speed Manual Van,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2006-Toyota-HiAce/33977010,"$9,999","378,298 Kms",Manual,Diesel,Van,20251107
2006 Toyota HiAce KDH200R LWB White 5 Speed Manual Van,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2006-Toyota-HiAce/33977010,"$9,999","378,298 Kms",Manual,Diesel,Van,20251107
2006 Toyota HiAce KDH200R LWB White 5 Speed Manual Van,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2006-Toyota-HiAce/33977010,"$9,999","378,298 Kms",Manual,Diesel,Van,20251107
