name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2024 Kia Cerato BD MY24 S Blue 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2024-Kia-Cerato/34026941,"$24,999","34,766 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2024 Kia Cerato BD MY24 S Blue 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2024-Kia-Cerato/34026941,"$24,999","34,766 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2017 Kia Cerato YD MY18 S White 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Kia-Cerato/34060878,"$13,999","147,540 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2017 Kia Cerato YD MY18 S White 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Kia-Cerato/34060878,"$13,999","147,540 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2017 Kia Cerato YD MY18 S White 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Kia-Cerato/34060878,"$13,999","147,540 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2016 Honda Civic 10th Gen MY16 VTi-L Blue 1 Speed Constant Variable Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Honda-Civic/34075247,"$14,999","198,911 Kms",Constant Variable,Petrol - Unleaded,Sedan,20251107
2016 Honda Civic 10th Gen MY16 VTi-L Blue 1 Speed Constant Variable Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Honda-Civic/34075247,"$14,999","198,911 Kms",Constant Variable,Petrol - Unleaded,Sedan,20251107
2016 Honda Civic 10th Gen MY16 VTi-L Blue 1 Speed Constant Variable Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Honda-Civic/34075247,"$14,999","198,911 Kms",Constant Variable,Petrol - Unleaded,Sedan,20251107
2011 Holden Commodore VE II MY12 Omega Silver 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Holden-Commodore/33976326,"$6,999","218,620 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2011 Holden Commodore VE II MY12 Omega Silver 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Holden-Commodore/33976326,"$6,999","218,620 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2011 Holden Commodore VE II MY12 Omega Silver 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Holden-Commodore/33976326,"$6,999","218,620 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2009 Holden Commodore VE MY09.5 SV6 Red 5 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2009-Holden-Commodore/34066700,"$10,999","228,442 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2009 Holden Commodore VE MY09.5 SV6 Red 5 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2009-Holden-Commodore/34066700,"$10,999","228,442 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2009 Holden Commodore VE MY09.5 SV6 Red 5 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2009-Holden-Commodore/34066700,"$10,999","228,442 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2015 Holden Cruze JH Series II MY15 Equipe White 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Cruze/33983852,"$7,999","146,582 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2015 Holden Cruze JH Series II MY15 Equipe White 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Cruze/33983852,"$7,999","146,582 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2015 Holden Cruze JH Series II MY15 Equipe White 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Cruze/33983852,"$7,999","146,582 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
