name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2013 Ford Kuga Trend TF AWD,/used-cars/for-sale/ford/kuga/2013/trend/tf-awd/3647023,"$9,990","205,142 Kms",6 SP Sports Automatic Dual Clutch,Diesel,SUV,20251105,brisbaneautogroup
2012 Subaru Forester XS Premium S3 MY12 AWD,/used-cars/for-sale/subaru/forester/2012/xs-premium/s3-my12-awd/3626261,"$10,990","194,469 Kms",4 SP Sports Automatic,Petrol - Unleaded ULP,SUV,20251105,brisbaneautogroup
2013 Jeep Grand Cherokee Laredo WK MY14 4X4 Constant,/used-cars/for-sale/jeep/grand-cherokee/2013/laredo/wk-my14-4x4-constant/3630428,"$10,990","228,795 Kms",8 SP Sports Automatic,Diesel,SUV,20251105,brisbaneautogroup
2012 Nissan X-TRAIL ST T31 Series V,/used-cars/for-sale/nissan/x-trail/2012/st/t31-series-v/3664026,"$10,990","147,110 Kms",1 SP Constantly Variable,Petrol - Unleaded ULP,SUV,20251105,brisbaneautogroup
2017 Peugeot 2008 Allure A94 MY17,/used-cars/for-sale/peugeot/2008/2017/allure/a94-my17/3623168,"$11,490","99,912 Kms",6 SP Sports Automatic,Petrol - Premium ULP,SUV,20251105,brisbaneautogroup
2013 Audi A3 Ambition 8V Four Wheel Drive,/used-cars/for-sale/audi/a3/2013/ambition/8v-four-wheel-drive/3615633,"$12,990","142,840 Kms",6 SP Sports Automatic Dual Clutch,Petrol - Premium ULP,SUV,20251105,brisbaneautogroup
2016 Holden Trax LS TJ MY17,/used-cars/for-sale/holden/trax/2016/ls/tj-my17/3647739,"$12,990","71,816 Kms",6 SP Automatic,Petrol - Premium ULP,SUV,20251105,brisbaneautogroup
2016 Holden Trax LTZ TJ MY17,/used-cars/for-sale/holden/trax/2016/ltz/tj-my17/3649005,"$12,990","127,443 Kms",6 SP Automatic,Petrol - Premium ULP,SUV,20251105,brisbaneautogroup
2015 Jeep Cherokee Sport KL MY15,/used-cars/for-sale/jeep/cherokee/2015/sport/kl-my15/3649009,"$12,990","128,350 Kms",9 SP Sports Automatic,Petrol - Unleaded ULP,SUV,20251105,brisbaneautogroup
2014 Jeep Grand Cherokee Laredo WK MY14 4X4 Dual Range,/used-cars/for-sale/jeep/grand-cherokee/2014/laredo/wk-my14-4x4-dual-range/3654931,"$12,990","160,011 Kms",8 SP Sports Automatic,Diesel,SUV,20251105,brisbaneautogroup
2016 Ford Escape Trend ZG AWD,/used-cars/for-sale/ford/escape/2016/trend/zg-awd/3630430,"$13,990","117,169 Kms",6 SP Sports Automatic Dual Clutch,Diesel,SUV,20251105,brisbaneautogroup
2016 Hyundai Santa Fe Elite DM3 Series II MY17 4X4 On Demand,/used-cars/for-sale/hyundai/santa-fe/2016/elite/dm3-series-ii-my17-4x4-on-demand/3631350,"$13,990","206,908 Kms",6 SP Sports Automatic,Diesel,SUV,20251105,brisbaneautogroup
2020 Hyundai Tucson Active TL4 MY20,/used-cars/for-sale/hyundai/tucson/2020/active/tl4-my20/3636966,"$13,990","280,709 Kms",6 SP Automatic,Petrol - Unleaded ULP,SUV,20251105,brisbaneautogroup
2014 Kia Sportage SLi SL Series II MY13 4X4 On Demand,/used-cars/for-sale/kia/sportage/2014/sli/sl-series-ii-my13-4x4-on-demand/3665403,"$13,990","156,134 Kms",6 SP Sports Automatic,Diesel,SUV,20251105,brisbaneautogroup
2017 Nissan X-TRAIL ST-L T32 Series II,/used-cars/for-sale/nissan/x-trail/2017/st-l/t32-series-ii/3604154,"$14,990","146,098 Kms",7 SP Constantly Variable,Petrol - Unleaded ULP,SUV,20251105,brisbaneautogroup
2019 LDV T60 PRO SK8C 4X4 Dual Range,/used-cars/for-sale/ldv/t60/2019/pro/sk8c-4x4-dual-range/3643407,"$15,990","101,453 Kms",6 SP Manual,Diesel,SUV,20251105,brisbaneautogroup
2016 Toyota RAV4 GX ZSA42R,/used-cars/for-sale/toyota/rav4/2016/gx/zsa42r/3594268,"$16,990","142,242 Kms",6 SP Manual,Petrol - Unleaded ULP,SUV,20251105,brisbaneautogroup
2017 Mitsubishi ASX LS XC MY18,/used-cars/for-sale/mitsubishi/asx/2017/ls/xc-my18/3629199,"$16,990","112,811 Kms",1 SP Constantly Variable,Petrol - Unleaded ULP,SUV,20251105,brisbaneautogroup
2018 Holden Acadia LT AC MY19,/used-cars/for-sale/holden/acadia/2018/lt/ac-my19/3664025,"$16,990","158,978 Kms",9 SP Sports Automatic,Petrol - Unleaded ULP,SUV,20251105,brisbaneautogroup
2023 MG ZS Excite AZS1 MY23,/used-cars/for-sale/mg/zs/2023/excite/azs1-my23/3657423,"$17,490","56,134 Kms",4 SP Automatic,Petrol - Unleaded ULP,SUV,20251105,brisbaneautogroup
